Timonel;Pais;Sexo;Club;Categoría;Vela
CASTIGLIONI Francisco;ARG;M;CNSI;;4274
TOMMASI Joaquin;ARG;M;CNSI;;3924
BOERI DI GIORGIO Camilo;ARG;M;CPNLB;;3743
BOERI DI GIORGIO Lucas;ARG;M;CPNLB;;4045
PADILLA Ramiro;ARG;M;CNSI;;4111
EASTMAN Tomas;ARG;M;CNSI;;382
GOTELLI Delfina;ARG;F;CRLP;F;3217
ZORRAQUIN Marcos;ARG;M;CNSI;Interior;4271
SCHERE PENA Agustina;ARG;F;YCA;F;4085
MAFFEI Constantino;ARG;M;CPNLB;;4047
MAFFEI Francesco;ARG;M;CPNLB;;4166
NIEVA Romeo;ARG;M;CPNLB-CBRIO;;3123
CORDOBA Samuel;ARG;M;CPNLB-CBRIO;;3657
CARANTI Isabel;ARG;F;CNSI;F;4117
BARRERA Joselyn;ARG;F;CPNLB-CBRIO;F;3513
VIEYTEZ Martin;ARG;M;CUBA;;3962
DOVAL Felix;ARG;M;Yca;;4198
PLOU PEÑAFORT Alma;ARG;F;CPNLB;F;4164
BIZZOZERO Tomas;ARG;M;YCA;;4211
MESSINA Milo;ARG;M;CVB;;4204
LÓPEZ BUSTOS Nuria;ARG;F;CUBA;F;4181
CALVO Lucas;ARG;M;CVB;;4056
MONES RUIZ Rafael;ARG;M;YCA;;4118
MASSA GALLI Valentín;ARG;M;CVB;;3688
BRAVO Francisco;ARG;M;YCA;;3201
DOMINGUEZ Catalina;ARG;F;CRSN;F, Interior;4025
REIS DEMARTIN Jean Lucca;ARG;M;CVB;;4215
PINI Matilde;ARG;F;CRLP;F;3709
MONTAUVAN Martina;ARG;F;C V B;F;3833
RUIZ STEPANCIC Catalina;ARG;F;CVB;F;4058
LUQUE Delfina;ARG;F;YCO;F;4011
